"Interval start","Client 1","Client 2","TCP","QUIC-Wave","ALL TCP"
212,2.78947e+07,2.20095e+07,0,5.15524e+07,0
213,2.90827e+07,2.10176e+07,0,5.1759e+07,0
214,2.78983e+07,2.21633e+07,0,5.17091e+07,0
215,2.83657e+07,2.14457e+07,0,5.1462e+07,0
216,2.99192e+07,2.01987e+07,0,5.17702e+07,0
217,2.77727e+07,2.21908e+07,0,5.16048e+07,0
218,2.77757e+07,2.21448e+07,0,5.15752e+07,0
219,2.7656e+07,2.24211e+07,0,5.17324e+07,0
220,2.70616e+07,2.3067e+07,0,5.178e+07,0
221,2.95567e+07,2.02265e+07,0,5.14294e+07,0
222,2.82562e+07,2.16671e+07,0,5.15812e+07,0
223,2.80149e+07,2.18506e+07,0,5.15086e+07,0
224,2.80149e+07,2.21499e+07,0,5.1821e+07,0
225,2.83693e+07,2.15778e+07,0,5.16079e+07,0
226,3.08679e+07,1.91728e+07,0,5.16784e+07,0
227,2.75356e+07,2.24071e+07,0,5.15935e+07,0
228,2.74147e+07,2.25198e+07,0,5.15777e+07,0
229,2.72994e+07,2.27571e+07,0,5.17081e+07,0
230,2.8012e+07,2.1977e+07,0,5.16429e+07,0
231,2.20577e+07,2.80554e+07,0,5.17453e+07,0
232,2.02592e+07,2.98155e+07,0,5.17219e+07,0
233,2.78879e+07,2.20305e+07,0,5.15619e+07,0
234,2.80126e+07,2.19026e+07,0,5.1573e+07,0
235,2.78945e+07,2.21017e+07,0,5.16446e+07,0
236,2.74198e+07,2.2566e+07,0,5.16365e+07,0
237,2.84933e+07,2.15304e+07,0,5.16729e+07,0
238,3.0162e+07,1.98586e+07,0,5.16902e+07,0
239,2.80164e+07,2.20474e+07,0,5.17199e+07,0
240,2.82526e+07,2.1557e+07,0,5.14611e+07,0
241,2.76582e+07,2.23893e+07,0,5.17028e+07,0
